<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,135900,119.2400000,119.2500000,119.0400000,119.2200000,4198
US1.IBM,1,20200714,140000,119.2700000,119.3300000,119.1300000,119.3300000,1400
US1.IBM,1,20200714,140100,119.2700000,119.4300000,119.1800000,119.4300000,1597
US1.IBM,1,20200714,140200,119.4900000,119.5000000,119.4400000,119.5000000,1000
US1.IBM,1,20200714,140300,119.5400000,119.6900000,119.5400000,119.5400000,900
US1.IBM,1,20200714,140400,119.6400000,119.6400000,119.5100000,119.6000000,400
US1.IBM,1,20200714,140500,119.6700000,119.6700000,119.6300000,119.6300000,300
US1.IBM,1,20200714,140600,119.6200000,119.6500000,119.6200000,119.6300000,501
US1.IBM,1,20200714,140700,119.6500000,119.6500000,119.5250000,119.5250000,1146
US1.IBM,1,20200714,140800,119.4600000,119.5500000,119.4600000,119.4900000,600
US1.IBM,1,20200714,140900,119.4500000,119.4500000,119.3800000,119.3800000,600
US1.IBM,1,20200714,141000,119.4300000,119.4300000,119.4300000,119.4300000,100
US1.IBM,1,20200714,141100,119.4750000,119.4800000,119.4700000,119.4700000,400
US1.IBM,1,20200714,141200,119.4500000,119.5300000,119.4500000,119.5200000,400
US1.IBM,1,20200714,141300,119.5000000,119.5000000,119.5000000,119.5000000,100
US1.IBM,1,20200714,141400,119.5000000,119.5050000,119.4800000,119.4800000,800
US1.IBM,1,20200714,141500,119.4800000,119.4800000,119.4800000,119.4800000,100
US1.IBM,1,20200714,141600,119.5500000,119.5900000,119.5200000,119.5900000,700
US1.IBM,1,20200714,141700,119.6050000,119.6050000,119.5700000,119.6000000,300
US1.IBM,1,20200714,141800,119.5900000,119.6200000,119.5700000,119.6200000,700
US1.IBM,1,20200714,141900,119.6300000,119.7000000,119.6300000,119.7000000,500
US1.IBM,1,20200714,142100,119.7100000,119.8100000,119.7100000,119.8100000,350
US1.IBM,1,20200714,142200,119.8000000,119.8000000,119.7800000,119.7800000,200
US1.IBM,1,20200714,142300,119.7600000,119.7600000,119.6700000,119.6800000,623
US1.IBM,1,20200714,142400,119.6500000,119.6500000,119.6500000,119.6500000,200
US1.IBM,1,20200714,142500,119.7200000,119.7400000,119.7200000,119.7400000,300
US1.IBM,1,20200714,142600,119.7100000,119.7100000,119.6600000,119.6600000,615
US1.IBM,1,20200714,142700,119.6500000,119.6500000,119.5900000,119.6200000,800
US1.IBM,1,20200714,142800,119.6200000,119.6200000,119.6200000,119.6200000,300
US1.IBM,1,20200714,143000,119.6300000,119.6300000,119.6000000,119.6000000,300
US1.IBM,1,20200714,143100,119.5900000,119.6700000,119.5900000,119.6500000,700
US1.IBM,1,20200714,143200,119.7300000,119.7300000,119.7300000,119.7300000,100
US1.IBM,1,20200714,143300,119.7100000,119.7100000,119.7000000,119.7000000,200
US1.IBM,1,20200714,143400,119.7300000,119.7300000,119.7300000,119.7300000,100
US1.IBM,1,20200714,143600,119.6400000,119.6700000,119.6100000,119.6400000,800
US1.IBM,1,20200714,143700,119.6800000,119.7100000,119.6500000,119.6500000,700
US1.IBM,1,20200714,143800,119.7400000,119.7500000,119.7000000,119.7000000,600
US1.IBM,1,20200714,143900,119.6500000,119.6500000,119.6200000,119.6400000,500
US1.IBM,1,20200714,144000,119.6400000,119.6600000,119.5800000,119.5800000,500
US1.IBM,1,20200714,144100,119.6500000,119.6600000,119.5900000,119.6200000,400
US1.IBM,1,20200714,144200,119.5900000,119.5900000,119.5200000,119.5500000,300
US1.IBM,1,20200714,144300,119.5600000,119.5600000,119.5600000,119.5600000,100
US1.IBM,1,20200714,144400,119.4400000,119.4500000,119.4400000,119.4500000,400
US1.IBM,1,20200714,144600,119.4600000,119.6000000,119.4600000,119.5700000,500
US1.IBM,1,20200714,144800,119.4600000,119.4600000,119.4100000,119.4200000,600
US1.IBM,1,20200714,144900,119.4000000,119.4000000,119.3900000,119.3900000,600
US1.IBM,1,20200714,145000,119.3400000,119.4100000,119.3400000,119.4100000,600
US1.IBM,1,20200714,145100,119.4100000,119.4200000,119.4100000,119.4200000,200
US1.IBM,1,20200714,145200,119.4400000,119.5400000,119.4400000,119.5200000,400
US1.IBM,1,20200714,145300,119.5700000,119.5900000,119.5700000,119.5900000,200
US1.IBM,1,20200714,145400,119.6200000,119.6200000,119.6200000,119.6200000,100
US1.IBM,1,20200714,145500,119.6400000,119.6400000,119.6400000,119.6400000,100
US1.IBM,1,20200714,145600,119.5900000,119.6100000,119.5600000,119.6000000,500
US1.IBM,1,20200714,145700,119.6000000,119.6500000,119.6000000,119.6400000,800
US1.IBM,1,20200714,145800,119.6800000,119.6800000,119.6400000,119.6400000,400
US1.IBM,1,20200714,145900,119.6800000,119.7500000,119.6800000,119.7100000,700
US1.IBM,1,20200714,150000,119.6900000,119.7100000,119.6900000,119.7100000,400
US1.IBM,1,20200714,150100,119.7100000,119.7400000,119.6800000,119.7400000,1292
